vendor_id,vendor_name,year,week,qty_trip,top_qty_trip
CMT,"Creative Mobile Technologies, LLC",2009,11,10098,1
CMT,"Creative Mobile Technologies, LLC",2010,43,9966,1
CMT,"Creative Mobile Technologies, LLC",2011,16,10632,1
CMT,"Creative Mobile Technologies, LLC",2012,29,11390,1
